keys,en,es,cat
language,English,Español,Català
current_language,Language: English,Idioma: Español,Idioma: Català
rotate_screen,Please rotate your screen,Por favor rota tu pantalla,"Si us plau, gira la pantalla"
play,Play,Jugar,Jugar
game_paused,Game paused,Juego pausado,Joc pausat
continue_anyway,Continue anyway,Continuar de todos modos,Continuar de totes maneres
credits,Credits,Créditos,Crèdits
close,Close,Cerrar,Tancar
view_more,View more,Ver más,Veure més
developed_by,Developed by,Desarrollado por,Desenvolupat per
what_are_you_doing_berta,"What are you doing, Berta?","¿Qué estás haciendo, Berta?",Català
press_to_start,Press to start,Pulsa para empezar,Català
hold_to_brake,Hold to brake,Mantén pulsado para frenar,Català
release_to_dash,Release to dash,Suelta para lanzarte,Català
you_are_overthinking,Don't you think you're thinking too much about the cause of the accident?,¿No crees que estás dándole demasiadas vueltas a la causa del accidente?,Català
not_good_to_be_afraid,It's not good to be afraid but it's good to have been,No es bueno tener miedo pero es bueno haberlo tenido,Català